ticker,name,sector,cik,annual_period,annual_filed,core_metric_coverage_pct,extended_metric_coverage_pct,data_status,data_quality_flags,history_revenue_4y,history_opinc_4y,history_fcf_4y,history_diluted_shares_4y,sbc_current_present,revenue_cagr3_present,opinc_cagr3_present,fcf_cagr3_present,fcf_per_share_cagr3_present,market_price_present,market_cap_present,market_data_present
AMGN,AMGEN INC,-,318154.0,20251231.0,20260213.0,100.0,100.0,PRESENT,OK,True,True,True,True,True,True,True,True,True,True,True,True
TMO,THERMO FISHER SCIENTIFIC INC,-,97745.0,20251231.0,20260226.0,100.0,100.0,PRESENT,OK,True,True,True,True,True,True,True,True,True,True,True,True
KLAC,KLA CORP,-,319201.0,20250630.0,20250808.0,100.0,100.0,PRESENT,OK,True,False,True,True,True,True,False,True,True,True,True,True
LIN,LINDE PLC,-,1707925.0,20251231.0,20260225.0,100.0,100.0,PRESENT,OK,True,True,True,True,True,True,True,True,True,True,True,True
C,CITIGROUP INC,-,831001.0,20251231.0,20260220.0,100.0,100.0,PRESENT,OK,True,False,True,True,False,True,False,False,False,True,True,True
IBM,INTL BUSINESS MACHINES CORP,-,51143.0,20251231.0,20260224.0,100.0,100.0,PRESENT,OK,True,False,True,True,True,True,False,True,True,True,True,True
CRM,SALESFORCE INC,-,1108524.0,20260131.0,20260302.0,100.0,100.0,PRESENT,OK,True,True,True,True,True,True,True,True,True,True,True,True
VZ,VERIZON COMMUNICATIONS INC,-,732712.0,20251231.0,20260217.0,100.0,87.5,PRESENT,OK,True,True,False,True,False,True,True,False,False,True,True,True
ANET,ARISTA NETWORKS INC,-,1596532.0,20251231.0,20260217.0,100.0,87.5,PRESENT,OK,True,True,True,True,True,True,True,True,True,True,True,True
APH,AMPHENOL CORP CL A,-,820313.0,20251231.0,20260211.0,100.0,100.0,PRESENT,OK,True,True,True,True,True,True,True,True,True,True,True,True
ABT,ABBOTT LABORATORIES,-,1800.0,20251231.0,20260220.0,100.0,100.0,PRESENT,OK,True,True,True,True,True,True,True,True,True,True,True,True
PEP,PEPSICO INC,-,77476.0,20251231.0,20260203.0,100.0,100.0,PRESENT,OK,True,True,True,True,True,True,True,True,True,True,True,True
DIS,WALT DISNEY CO/THE,-,1744489.0,20250930.0,20251113.0,100.0,100.0,PRESENT,OK,True,False,False,True,True,True,False,False,False,True,True,True
MCD,MCDONALD S CORP,-,63908.0,20251231.0,20260224.0,100.0,100.0,PRESENT,OK,True,True,True,True,True,True,True,True,True,True,True,True
STX,SEAGATE TECHNOLOGY HOLDINGS,-,1137789.0,20250630.0,20250801.0,100.0,100.0,PRESENT,OK,True,True,True,True,True,True,True,True,True,True,True,True
MRVL,MARVELL TECHNOLOGY INC,-,1835632.0,20260131.0,20260311.0,100.0,100.0,PRESENT,OK,True,True,True,True,True,True,True,True,True,True,True,True
GILD,GILEAD SCIENCES INC,-,882095.0,20251231.0,20260224.0,100.0,100.0,PRESENT,OK,True,True,True,True,True,True,True,True,True,True,True,True
T,AT+T INC,-,732717.0,20251231.0,20260209.0,83.3,87.5,PARTIAL,MISSING_DILUTED_SHARES,True,True,False,False,False,True,False,False,False,True,True,True
QCOM,QUALCOMM INC,-,804328.0,20250930.0,20251105.0,100.0,100.0,PRESENT,OK,True,True,True,True,True,True,True,True,True,True,True,True
SCHW,SCHWAB (CHARLES) CORP,-,316709.0,20251231.0,20260225.0,100.0,100.0,PRESENT,OK,True,False,True,True,True,True,False,True,True,True,True,True
UNP,UNION PACIFIC CORP,-,100885.0,20251231.0,20260206.0,100.0,100.0,PRESENT,OK,True,True,True,True,False,True,True,True,True,True,True,True
ADI,ANALOG DEVICES INC,-,6281.0,20251031.0,20251125.0,100.0,100.0,PRESENT,OK,True,True,True,True,True,True,True,True,True,True,True,True
AXP,AMERICAN EXPRESS CO,-,4962.0,20251231.0,20260206.0,83.3,87.5,PARTIAL,MISSING_REVENUE,False,False,True,True,True,False,False,True,True,True,True,True
NEE,NEXTERA ENERGY INC,-,753308.0,20251231.0,20260213.0,66.7,62.5,PARTIAL,MISSING_REVENUE;MISSING_DILUTED_SHARES,False,True,False,False,False,False,True,False,False,True,True,True
BLK,BLACKROCK INC,-,2012383.0,20251231.0,20260225.0,100.0,100.0,PRESENT,OK,False,False,False,False,True,False,False,False,False,True,True,True
WELL,WELLTOWER INC,-,766704.0,20251231.0,20260212.0,100.0,75.0,PRESENT,OK,True,False,False,True,True,True,False,False,False,True,True,True
DE,DEERE + CO,-,315189.0,20251031.0,20251218.0,100.0,87.5,PRESENT,OK,True,False,True,True,True,True,False,True,True,True,True,True
BA,BOEING CO/THE,-,12927.0,20251231.0,20260130.0,83.3,87.5,PARTIAL,MISSING_DILUTED_SHARES,True,True,True,False,True,True,False,False,False,True,True,True
PFE,PFIZER INC,-,78003.0,20251231.0,20260226.0,100.0,100.0,PRESENT,OK,True,False,True,True,True,True,False,True,True,True,True,True
COP,CONOCOPHILLIPS,-,1163165.0,20251231.0,20260217.0,100.0,87.5,PRESENT,OK,True,False,True,True,False,True,False,False,False,True,True,True
ETN,EATON CORP PLC,-,1551182.0,20251231.0,20260226.0,100.0,100.0,PRESENT,OK,True,False,True,True,False,True,False,True,True,True,True,True
WDC,WESTERN DIGITAL CORP,-,106040.0,20250630.0,20250814.0,83.3,87.5,PARTIAL,MISSING_DILUTED_SHARES,True,True,True,True,True,True,True,True,False,True,True,True
BKNG,BOOKING HOLDINGS INC,-,1075531.0,20251231.0,20260218.0,83.3,87.5,PARTIAL,MISSING_NET_INCOME,True,True,True,True,True,True,True,True,True,True,True,True
UBER,UBER TECHNOLOGIES INC,-,1543151.0,20251231.0,20260213.0,100.0,100.0,PRESENT,OK,True,True,True,True,True,True,False,True,True,True,True,True
NOW,SERVICENOW INC,-,1373715.0,20251231.0,20260129.0,100.0,87.5,PRESENT,OK,True,True,True,True,True,True,True,True,True,True,True,True
TJX,TJX COMPANIES INC,-,109198.0,20260131.0,20260331.0,83.3,87.5,PARTIAL,MISSING_REVENUE,False,False,True,True,True,False,False,True,True,True,True,True
VRTX,VERTEX PHARMACEUTICALS INC,-,875320.0,20251231.0,20260213.0,100.0,87.5,PRESENT,OK,True,True,True,True,True,True,True,True,True,True,True,True
BMY,BRISTOL MYERS SQUIBB CO,-,14272.0,20251231.0,20260211.0,83.3,87.5,PARTIAL,MISSING_DILUTED_SHARES,True,False,True,False,True,True,False,True,False,True,True,True
NEM,NEWMONT CORP,-,1164727.0,20251231.0,20260219.0,100.0,100.0,PRESENT,OK,True,False,True,True,False,True,False,True,True,True,True,True
DHR,DANAHER CORP,-,313616.0,20251231.0,20260224.0,100.0,100.0,PRESENT,OK,True,True,True,True,True,True,True,True,True,True,True,True
COF,CAPITAL ONE FINANCIAL CORP,-,927628.0,20251231.0,20260219.0,66.7,62.5,PARTIAL,MISSING_REVENUE;MISSING_DILUTED_SHARES,False,False,True,False,True,False,False,True,False,True,True,True
ISRG,INTUITIVE SURGICAL INC,-,1035267.0,20251231.0,20260203.0,100.0,87.5,PRESENT,OK,True,True,True,True,True,True,True,True,True,True,True,True
PLD,PROLOGIS INC,-,1045609.0,20251231.0,20260213.0,100.0,87.5,PRESENT,OK,True,True,False,True,True,True,True,False,False,True,True,True
SPGI,S+P GLOBAL INC,-,64040.0,20251231.0,20260211.0,100.0,100.0,PRESENT,OK,True,True,True,True,True,True,True,True,True,True,True,True
DELL,DELL TECHNOLOGIES C,-,1571996.0,20260131.0,20260316.0,83.3,87.5,PARTIAL,MISSING_DILUTED_SHARES,True,True,True,False,True,True,True,True,False,True,True,True
PGR,PROGRESSIVE CORP,-,80661.0,20251231.0,20260302.0,100.0,87.5,PRESENT,OK,True,False,True,True,False,True,False,True,True,True,True,True
PH,PARKER HANNIFIN CORP,-,76334.0,20250630.0,20250822.0,83.3,87.5,PARTIAL,MISSING_DILUTED_SHARES,True,False,True,False,True,True,False,True,False,True,True,True
CB,CHUBB LTD,-,896159.0,20251231.0,20260227.0,83.3,75.0,PARTIAL,MISSING_DILUTED_SHARES,True,False,False,False,False,True,False,False,False,True,True,True
SBUX,STARBUCKS CORP,-,829224.0,20250930.0,20251114.0,100.0,100.0,PRESENT,OK,True,True,True,True,True,True,True,True,True,True,True,True
CVS,CVS HEALTH CORP,-,64803.0,20251231.0,20260210.0,100.0,100.0,PRESENT,OK,True,True,True,True,True,True,True,True,True,True,True,True
ADBE,ADOBE INC,-,796343.0,20251130.0,20260115.0,100.0,100.0,PRESENT,OK,True,True,True,True,True,True,True,True,True,True,True,True
GLW,CORNING INC,-,24741.0,20251231.0,20260212.0,83.3,75.0,PARTIAL,MISSING_DILUTED_SHARES,True,True,False,False,True,True,True,False,False,True,True,True
ACN,ACCENTURE PLC CL A,-,1467373.0,20250831.0,20251010.0,100.0,100.0,PRESENT,OK,True,True,True,True,True,True,True,True,True,True,True,True
MDT,MEDTRONIC PLC,-,1613103.0,20260430.0,20260618.0,100.0,100.0,PRESENT,OK,True,True,True,True,True,True,True,True,True,True,True,True
